id,relid,year,active_year,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,isocc,gwno,gwab
141444,INS-2000-1-347-24,2000,1,1,1-171,366,Indonesia:Aceh,347,794,Government of Indonesia - GAM,850,155,Government of Indonesia,1170,327,GAM,-1,"AP 2/9/2000 Four die in anti-rebel campaign in Indonesia's Aceh, Tadjoeddin (2002) ""Database on Social Violence in Indonesia, 1990-2001",,,,,1,Lhokseumawe town,"Lhokseumawe, Kab Aceh Utara, Aceh",Aceh Province,North Aceh Regency,5.188056,97.140278,POINT (97.140278 5.188056),137355,Indonesia,Asia,1,1,2/9/00,2/9/00,4,0,0,0,4,4,4,IDN,850,INS
141445,INS-2000-1-347-105,2000,1,1,1-171,366,Indonesia:Aceh,347,794,Government of Indonesia - GAM,850,155,Government of Indonesia,1170,327,GAM,-1,"Tadjoeddin (2002) ""Database on Social Violence in Indonesia, 1990-2001",,,,,1,Langsa town,Langsa Timur,Aceh Province,East Aceh Regency,4.48,97.963333,POINT (97.963333 4.480000),135916,Indonesia,Asia,1,1,12/19/00,12/19/00,0,0,0,2,2,2,0,IDN,850,INS
141446,INS-2000-1-347-107,2000,1,1,1-171,366,Indonesia:Aceh,347,794,Government of Indonesia - GAM,850,155,Government of Indonesia,1170,327,GAM,-1,"Tadjoeddin (2002) ""Database on Social Violence in Indonesia, 1990-2001",,,,,1,Idi Rayeuk town,"Idi Rayek, Kab Aceh Timur, Aceh",Aceh Province,East Aceh Regency,4.95,97.775,POINT (97.775000 4.950000),136636,Indonesia,Asia,1,1,12/31/00,12/31/00,0,0,0,0,0,1,0,IDN,850,INS
141448,INS-2000-1-347-51,2000,1,1,1-171,366,Indonesia:Aceh,347,794,Government of Indonesia - GAM,850,155,Government of Indonesia,1170,327,GAM,-1,"AP 5/29/2000 Bomb injured 4 on Indonesia's Sumatra island, three dead in Aceh",,,,,4,Aceh Province,Aceh,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,Asia,1,1,5/28/00,5/28/00,1,0,0,0,1,2,1,IDN,850,INS
121366,PHI-2004-1-217-77,2004,1,1,10-Jan,209,Philippines:Government,217,411,Government of Philippines - CPP,840,154,Government of Philippines,1010,169,CPP,-1,AP 1/10,,,,Police,1,Baganga town,Baganga town,Davao Oriental province,Baganga municipality,7.573889,126.56,POINT (126.560000 7.573889),141014,Philippines,Asia,1,1,10/1/04,10/1/04,4,0,0,0,4,4,2,PHL,840,PHI
186772,LEB-2000-2-236-335,2000,1,2,2-236,4773,Hezbollah - SLA,236,5383,Hezbollah - SLA,1209,366,Hezbollah,1688,827,SLA,-1,"Reuters, 2000-03-23, ""FOCUS-Hizbollah kills pro-Israel militiaman.",,,,"militia sources, Hezbollah",5,South Lebanon Occupation zone,Unclear location in southern Lebanon.,,,33.223409,35.468941,POINT (35.468941 33.223409),177551,Lebanon,Middle East,1,1,3/22/00,3/22/00,0,2,0,0,2,2,2,LBN,660,LEB
193917,GUA-1995-1-228-7,1995,1,1,Jan-36,233,Guatemala:Government,228,469,Government of Guatemala - URNG,90,11,Government of Guatemala,1593,732,URNG,-1,"Memoria de los Caí_dos, Fundacií_n Guillermo Toriello 2006",,,,,6,Guatemala,Guatemala,,,15.5,-90.25,POINT (-90.250000 15.500000),152100,Guatemala,Americas,1,1,3/6/95,3/6/95,0,1,0,0,1,1,1,GTM,90,GUA
121974,PHI-2004-1-217-10,2004,1,1,10-Jan,209,Philippines:Government,217,411,Government of Philippines - CPP,840,154,Government of Philippines,1010,169,CPP,-1,Xinhua 4/2,,,,Military,2,Manila City,Manila City (south of),Metropolitan Manila province,Manila City municipality,14.6042,120.9822,POINT (120.982200 14.604200),151082,Philippines,Asia,1,1,2/3/04,2/3/04,0,1,0,0,1,1,1,PHL,840,PHI
190903,RUS-2003-1-348-66,2003,1,1,1-206,401,Russia (Soviet Union):Chechnya,348,852,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,365,57,Government of Russia (Soviet Union),1195,352,Chechen Republic of Ichkeria,-1,Reuters 031215,,,,Police,1,selo Galatli,"Shauri, Galatli",Dagestan,Tsuntinskiy rayon,42.2882,45.8941,POINT (45.894100 42.288200),190532,Russia,Europe,1,1,12/15/03,12/15/03,3,0,0,0,3,9,3,SUN,365,RUS
191250,RUS-2001-3-365-13,2001,1,3,365,453,Government of Russia (Soviet Union) - Civilians,365,920,Government of Russia (Soviet Union) - Civilians,365,57,Government of Russia (Soviet Union),9999,1,Civilians,-1,"Chechenpress web site, 15-Oct-01",,,,Chechenpress web site,1,Argun,"Argun, Chechnya",Chechnya,Argun municipality,43.2917,45.8724,POINT (45.872400 43.291700),191972,Russia,Europe,1,1,10/12/01,10/12/01,0,0,14,0,14,14,14,SUN,365,RUS
